,Car_id,Date,Gender,Annual Income,Dealer_Name,Company,Model,Engine,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region
0,C_CND_000001,1/2/2022,Male,148.5,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,26000,06457-3834,SUV,8264678,Middletown
1,C_CND_000002,1/2/2022,Male,16279.999999999998,C & M Motors Inc,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,60504-7114,SUV,6848189,Aurora
2,C_CND_000003,1/2/2022,Male,11385.0,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,31500,38701-8047,Passenger,7298798,Greenville
3,C_CND_000004,1/2/2022,Male,148.5,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14000,99301-3882,SUV,6257557,Pasco
4,C_CND_000005,1/2/2022,Male,16114.999999999998,Chrysler Plymouth,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Red,24500,53546-9427,Hatchback,7081483,Janesville
5,C_CND_000006,1/2/2022,Male,9350.0,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12000,85257-3102,Hatchback,7315216,Scottsdale
6,C_CND_000007,1/2/2022,Male,17600.0,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,14000,78758-7841,Passenger,7727879,Austin
7,C_CND_000008,1/2/2022,Male,148.5,U-Haul CO,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42000,78758-7841,Passenger,6206512,Austin
8,C_CND_000009,1/2/2022,Male,8965.0,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,82000,85257-3102,Hardtop,7194857,Pasco
9,C_CND_000010,1/2/2022,Female,148.5,Rabun Used Car Sales,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,85257-3102,Passenger,7836892,Scottsdale
10,C_CND_000011,1/2/2022,Male,148.5,Race Car Help,Acura,RL,Overhead Camshaft,Manual,Pale White,31000,78758-7841,SUV,7995489,Austin
11,C_CND_000012,1/2/2022,Male,148.5,Race Car Help,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000,78758-7841,Hardtop,7288103,Pasco
12,C_CND_000013,1/2/2022,Male,9735.0,Saab-Belle Dodge,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000,60504-7114,SUV,6842408,Aurora
13,C_CND_000014,1/2/2022,Male,148.5,Scrivener Performance Engineering,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15000,38701-8047,Hatchback,7558767,Greenville
14,C_CND_000015,1/2/2022,Male,7941.999999999999,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,06457-3834,Sedan,7677191,Middletown
15,C_CND_000016,1/2/2022,Male,8206.0,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Hatchback,8431908,Aurora
16,C_CND_000017,1/2/2022,Female,5885.0,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Manual,Black,18000,38701-8047,Hatchback,7814646,Greenville
17,C_CND_000018,1/2/2022,Female,6270.0,Chrysler of Tri-Cities,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000,99301-3882,Passenger,7456650,Pasco
